#{"t_start": 1769341607.219808, "env_id": "highway-fast-v0"}
r,l,t
66.638889,119,12.845507
60.740741,107,22.096887
24.194444,44,26.003526
59.287037,106,34.992646
82.518519,145,47.340774
49.37963,87,54.602928
46.925926,84,61.793741
96.5,171,76.484549
108.185185,193,92.742619
84.87037,151,105.409268
22.231481,40,109.063669
40.518519,72,115.452669
49.083333,87,122.860245
22.546296,40,126.392008
36.259259,64,131.879456
125.759259,224,150.899825
151.055556,265,173.038681
96.518519,172,189.753799
21.898148,40,193.211185
132.805556,235,213.135034
98.425926,174,227.891133
73.611111,131,238.604676
65.324074,117,248.625417
24.185185,44,252.414611
153.527778,271,275.364877
25.407407,45,279.337464
46.592593,82,286.50462
185.990741,329,315.399059
26.675926,48,319.639374
44.212963,78,326.322599
27.074074,49,330.698448
96.435185,173,345.330755
33.018519,59,350.499502
39.064815,70,358.913507
60.231481,108,368.220175
83.212963,149,381.149465
32.583333,59,386.365568
70.62037,125,396.942911
125.62963,223,415.787428
25.0,45,419.603625
60.62963,109,428.885847
48.555556,86,436.271958
104.990741,184,453.087223
45.111111,81,460.342043
120.75,215,478.033648
101.055556,179,493.063243
42.398148,76,499.479991
62.12963,111,509.389122
61.37037,108,520.458037
57.916667,102,529.527802
42.944444,77,538.366002
133.518519,233,557.866491
37.398148,66,563.43933
40.583333,72,569.602579
54.87963,98,577.956788
122.833333,218,596.388727
45.833333,81,603.310849
113.490741,202,620.245136
54.694444,98,628.455906
174.361111,311,654.578779
123.555556,219,673.049971
81.222222,145,685.607662
63.435185,113,695.071462
24.666667,45,698.969937
26.768519,49,703.231932
108.888889,191,722.669351
73.268519,130,734.067621
100.305556,177,748.832607
57.953704,102,757.666776
199.25,354,787.097764
46.62037,83,794.075311
73.287037,131,805.174088
79.759259,143,817.397234
168.666667,295,841.823074
32.287037,58,846.778382
89.12963,155,859.747815
88.324074,158,873.120645
37.638889,67,878.956396
53.212963,96,889.179132
41.0,74,895.53273
53.407407,95,904.25729
208.083333,369,935.524134
62.777778,109,944.574254
94.601852,166,958.526332
29.814815,53,962.938509
90.472222,162,976.77447
35.638889,64,982.084619
107.055556,190,998.245226
95.064815,171,1012.437118
138.435185,245,1032.92549
38.425926,70,1038.950271
238.083333,422,1075.824152
211.935185,374,1107.35194
111.925926,200,1126.13765
72.981481,128,1136.753324
171.0,301,1162.137145
107.361111,188,1177.855919
76.638889,133,1189.399011
155.805556,272,1212.385288
37.12037,65,1218.039187
174.083333,310,1246.320359
78.583333,139,1258.045021
57.731481,102,1266.721189
218.712963,389,1299.289967
59.0,107,1308.340246
110.212963,191,1324.315428
54.537037,97,1332.462602
97.296296,175,1346.851593
202.416667,362,1376.86536
37.564815,67,1382.490351
42.990741,76,1389.059585
28.342593,52,1393.491976
142.851852,252,1416.723357
300.574074,530,1460.63158
82.074074,148,1473.089309
101.907407,178,1488.162316
103.157407,185,1503.575423
262.333333,461,1542.027785
82.194444,146,1554.430622
80.305556,144,1566.61232
161.518519,286,1592.699476
89.935185,158,1605.806513
28.203704,51,1610.26053
264.092593,472,1649.339696
56.277778,101,1657.914304
188.777778,336,1685.576578
183.518519,329,1713.014435
60.472222,109,1724.009656
109.657407,195,1740.136895
240.787037,422,1777.637533
119.314815,215,1795.670309
75.62963,133,1806.956419
181.175926,318,1833.563585
150.240741,268,1855.893893
53.212963,96,1864.052582
359.703704,634,1916.433415
460.018519,799,1983.587167
218.490741,388,2015.381999
114.111111,200,2031.63232
224.157407,397,2064.120514
118.462963,208,2081.713663
94.064815,165,2095.378066
696.518519,1200,2196.13849
263.37037,460,2234.351187
110.0,191,2250.344146
380.898148,668,2307.448722
695.324074,1200,2407.346456
624.203704,1078,2499.159629
677.861111,1200,2597.686349
