#{"t_start": 1769430387.3242035, "env_id": "merge-v0"}
r,l,t
117.106074,133,3.255572
101.563161,114,4.042069
163.073634,196,5.422744
75.302403,88,6.030219
130.486557,166,7.183375
172.00012,207,8.551153
175.979818,221,10.227813
58.943578,65,10.714227
97.951226,109,11.649685
103.075858,116,13.360251
95.049983,108,14.244
160.635933,195,15.750961
136.202361,184,16.984587
154.385012,218,21.051268
164.043295,198,22.317904
67.470031,77,22.833483
97.227175,111,23.546948
173.669242,215,24.957639
175.616784,218,26.311543
177.335086,218,27.688428
85.115996,95,28.597655
114.932309,141,30.181751
169.664855,222,32.821529
140.019328,179,34.996985
151.600669,198,37.420956
73.712246,81,38.4097
155.188162,224,43.49862
132.501623,161,44.483587
62.730434,69,44.935925
153.435563,211,46.212547
135.756956,171,47.198815
175.587631,217,48.556405
172.413222,209,50.000842
166.381818,221,51.992822
171.32608,227,54.170931
145.900551,170,56.066087
174.846286,217,61.609142
178.166401,216,63.374739
178.358048,228,64.842656
153.846375,231,66.189738
99.189378,108,66.903456
73.427649,89,67.416059
117.217673,149,68.281536
171.437578,222,69.688912
176.71986,221,71.901378
153.342953,226,74.6142
171.272459,225,77.26404
130.001947,170,83.979032
102.165647,118,84.725482
142.49552,180,85.991672
140.105469,188,87.100722
155.351685,228,88.488389
169.229154,207,89.662414
70.288556,78,90.086426
160.822623,190,91.242735
171.03126,221,92.690941
137.278398,154,93.667329
176.630723,223,94.96542
174.959746,218,100.002596
182.181385,241,101.684624
181.051421,235,103.756917
128.440026,161,105.571797
153.635803,227,107.529288
175.4627,220,110.496494
67.639437,80,112.013022
180.374862,234,116.067085
174.928284,219,120.263178
89.43183,97,120.961928
130.428627,166,122.330441
121.79534,145,123.441255
103.158756,116,127.569546
93.521079,121,128.378134
172.315749,226,130.227863
173.93262,211,131.879437
167.249425,222,134.236114
123.216781,157,135.643572
172.707579,229,137.492294
154.312923,241,139.468121
182.617028,234,141.212535
173.689222,234,142.929169
172.583092,229,148.309553
170.729641,225,149.935206
153.054529,227,151.461149
175.329537,240,153.251681
148.716627,193,154.662209
135.949864,172,155.954051
126.541696,156,157.69921
179.015079,231,159.477929
176.885231,223,161.332313
154.672942,213,167.378718
67.798907,76,168.040822
179.096839,229,169.917737
169.832463,222,171.737702
103.540459,140,172.969986
137.372161,154,174.241541
169.658258,219,175.942812
155.324318,211,177.978083
176.40966,214,181.665309
178.245533,227,183.59842
60.984338,68,184.146383
143.981841,188,185.826024
173.929194,216,192.0823
175.016325,216,193.979489
149.047492,170,195.524932
129.646999,165,196.955848
151.067331,178,198.422482
90.708901,103,199.474903
153.5219,222,201.699821
66.779323,77,202.506166
160.960426,207,204.332368
73.188795,87,204.991115
124.762078,157,206.355352
82.224424,90,207.072873
121.97492,157,208.435469
178.456656,228,214.141542
171.716675,228,216.411437
176.85184,222,218.67315
101.819434,116,220.30309
177.161257,226,222.518208
179.538037,226,225.308909
70.926096,75,226.110836
170.169755,219,227.622313
176.597988,208,229.689007
179.777631,230,231.754031
111.146285,121,232.753432
178.337436,212,239.967726
105.322183,123,241.558593
171.978073,220,244.443888
127.480046,149,245.598102
177.057752,222,247.671392
132.386348,172,249.164617
170.559583,234,251.138503
164.236103,214,252.996486
108.997744,126,254.067082
82.047176,94,254.950365
120.261605,164,256.362243
122.23449,142,257.567152
142.05562,180,262.99394
185.081694,230,265.099921
181.648463,220,267.033247
62.740637,69,267.58237
165.879838,212,268.94058
109.89975,133,269.843352
175.38592,228,271.42148
146.668163,173,273.444567
76.68571,87,273.989696
171.331636,208,275.431856
117.904074,137,276.355538
140.636485,174,277.462654
116.517507,141,281.409599
153.756079,219,283.497431
165.44738,214,285.018287
172.257444,220,286.477147
78.845826,91,287.05647
71.576812,79,287.534172
180.603437,217,288.916497
181.212669,215,290.446524
181.262975,221,291.919398
172.18169,213,293.309429
112.336533,134,294.167306
175.081439,221,298.714328
73.02375,85,299.225067
179.403524,213,300.698473
175.845607,213,302.077881
152.572494,174,303.222178
121.604457,141,304.190611
125.532362,137,305.088495
176.28938,206,306.50153
177.637146,212,307.891459
164.35711,193,309.230669
111.160886,124,310.066128
110.372225,129,310.881045
